property_name,price,location,area,bathrooms,beds
200sqm office in mabail free Wifi (B1772),OMR 400,"Al Maabilah, Muscat•",200 SQM,Not specified,Not specified
30 sqm Shop in mabila (B11356),OMR 100,"Al Maabilah, Muscat•",30 SQM,Not specified,Not specified
2bhk in mbd free fiber internet,OMR 180,"Ruwi, Muscat•",95 SQM,2,2
168 sqm commercial property in alkhoud (B572),OMR 420,"Al Khoud, Muscat•",168 SQM,Not specified,Not specified
158 SQM shop in mabil 3محل ارضي المعبيله,OMR 900,"Al Maabilah, Muscat•",158 SQM,Not specified,Not specified
Beautiful 4+1 BR Villa Available for Rent in Azaiba,OMR 630,"Azaiba, Muscat•",300 SQM,6,5
High-end villa for rent in Al-Azaiba,OMR 630,"Azaiba, Muscat•",350 SQM,5,4
"Ready-to-move in Office space for 2  people at Muscat, Al Khuwair",OMR 250,"Al Khuwair, Muscat•",120 SQM,Not specified,Not specified
"Private office space for 3 persons in Muscat, Roola District",OMR 385,"Ghala, Muscat•",15 SQM,Not specified,Not specified
"Find office space in Muscat, Roola District for 2 persons",OMR 281,"Ghala, Muscat•",10 SQM,Not specified,Not specified
"Private office space for 5 persons in Sohar, Sohar City Centre",OMR 555,"Sohar, Al Batinah•",30 SQM,Not specified,Not specified
"Open plan office space for 15 persons in Sohar, Sohar City Centre","OMR 1,005","Sohar, Al Batinah•",100 SQM,Not specified,Not specified
"Open plan office space for 10 persons in Sohar, Sohar City Centre",OMR 809,"Sohar, Al Batinah•",45 SQM,Not specified,Not specified
"Private office space for 4 persons in Sohar, Sohar City Centre",OMR 480,"Sohar, Al Batinah•",20 SQM,Not specified,Not specified
"Private office space for 3 persons in Sohar, Sohar City Centre",OMR 329,"Sohar, Al Batinah•",15 SQM,Not specified,Not specified
"Private office space for 2 persons in Sohar, Sohar City Centre",OMR 196,"Sohar, Al Batinah•",10 SQM,Not specified,Not specified
"Fully serviced private office space in MUSCAT, Beach One",OMR 249,"Muscat - Other, Muscat•",10 SQM,Not specified,Not specified
"Furnished office space in Muscat, Pearl Square for 4 persons",OMR 429,"Muscat Hills, Muscat•",20 SQM,Not specified,Not specified
"Join a professional coworking environment in Muscat Hill, Pearl Square",OMR 109,"Muscat Hills, Muscat•",10 SQM,Not specified,Not specified
"All-inclusive access to coworking in Muscat, Pearl Square",OMR 109,"Muscat Hills, Muscat•",10 SQM,Not specified,Not specified
Fully serviced office space for you and your team at Qurum,OMR 299,"Qurum, Muscat•",60 SQM,Not specified,Not specified
Furnished office space for 6 persons in MAWALEH,OMR 519,"Al Mawaleh, Muscat•",75 SQM,Not specified,Not specified
"Coworking space in MUSCAT, Shatti Al Qurum",OMR 130,"Qurum, Muscat•",10 SQM,Not specified,Not specified
"Work in MUSCAT, Al Khuwair  or anywhere else in our global network",OMR 89,"Al Khuwair, Muscat•",10 SQM,Not specified,Not specified
FULLY SERVICED PRIVATE OFFICE SPACES FOR RENT - AL KHUWAIR !!,OMR 225,"Al Khuwair, Muscat•",10 SQM,Not specified,Not specified
"Open plan office space for 15 persons in Muscat, Roola District","OMR 1,243","Ghala, Muscat•",100 SQM,Not specified,Not specified
"Open plan office space for 10 persons in Muscat, Roola District",OMR 997,"Ghala, Muscat•",45 SQM,Not specified,Not specified
"Private office space for 5 persons in Muscat, Roola District",OMR 716,"Ghala, Muscat•",30 SQM,Not specified,Not specified
"Private office space for 4 persons in Muscat, Roola District",OMR 527,"Ghala, Muscat•",20 SQM,Not specified,Not specified
PRIVATE OFFICE SPACES FOR RENT - AL KHUWAIR !!,OMR 225,"Al Khuwair, Muscat•",10 SQM,Not specified,Not specified
"Unlimited office access in Bait Eteen, Al Khuwair",OMR 250,"Al Khuwair, Muscat•",10 SQM,Not specified,Not specified
"Open plan office space for 15 persons in Muscat, Pearl Square","OMR 1,297","Muscat Hills, Muscat•",100 SQM,Not specified,Not specified
"Private office space for 1 person in Muscat, Pearl Square",OMR 215,"Muscat Hills, Muscat•",10 SQM,Not specified,Not specified
Premium flexible workspace for 3 at prestigious location of Al Mawaleh,OMR 339,"Al Mawaleh, Muscat•",11 SQM,Not specified,Not specified
BRILLIANT townhouse available for rent in Al Qurum,OMR 770,"Qurum, Muscat•",250 SQM,5,3
Sea Side Villa is located in a compound in Al Hail North Golden Squar,OMR 755,"Al Hail, Muscat•",400 SQM,7,5
RV67 - LUX BRAND NEW 5BHK VILLA IN AZAIBAH FOR RENT NEAR THE BEACH,"OMR 1,000","Azaiba, Muscat•",450 SQM,6,5
2 Bedrooms Apartment With Beautiful Ocean View,OMR 800,"The Wave (Almouj), Muscat•",125 SQM,3,2
EXCELLENT 2 BR FLAT IN AL KHUWAIR,OMR 280,"Al Khuwair, Muscat•",105 SQM,2,2
Fully Fitted Office Space for Transfer – Qurum,"OMR 2,600","Qurum, Muscat•",240 SQM,Not specified,Not specified
146 SQM Modern Office Space at Muscat Hills,"OMR 1,100","Muscat Hills, Muscat•",146 SQM,Not specified,Not specified
SR--AM-860 Villa For Rent In Azaiba/ فيلا للايجار في العذيبة,OMR 550,"Azaiba, Muscat•",250 SQM,6,3
SR--MO-942 Villa for rent in Al ansab .,OMR 600,"Ansab, Muscat•",450 SQM,8,6
AZAIBA | BEAUTIFUL 4+1 BR VILLA,OMR 630,"Azaiba, Muscat•",300 SQM,5,4
"ADV901**A beautiful, Maintained Villa 4BHK+Maid for rent in Qurum in a",OMR 700,"Qurum, Muscat•",365 SQM,5,4
ADW02***Well-Maintained 2BHK Fully Furnited Flat in The Wave – Sea Vie,OMR 700,"The Wave (Almouj), Muscat•",110 SQM,3,2
ADV936** 4bhk + Maid's villa for rent in Qurum,"OMR 1,200","Qurum, Muscat•",420 SQM,5,4
ADV937** 5bhk + Maid's villa for rent in Qurum,"OMR 1,600","Qurum, Muscat•",450 SQM,6,5
ADV904**3BHK+Maid Brand new villa in Madinat Illam,"OMR 1,050","Qurum, Muscat•",350 SQM,4,3
Furnished Office for Rent Seeb مكتب للإيجار مؤثث في سكوير الخوض السيب,OMR 140,"Al Seeb, Muscat•",100 SQM,Not specified,Not specified
Furnished Office for Rent Avenues Mall Ghoubra مكتب للإيجار في الغبرة,OMR 150,"Bosher, Muscat•",100 SQM,Not specified,Not specified
ADW05**Beautiful & Spacious fully Furnished 2+1BHK Apartment for Rent,"OMR 1,200","The Wave (Almouj), Muscat•",165 SQM,3,2
AL MOUJ | SPACIOUS 3 BHK APARTMENT FOR RENT,OMR 950,"The Wave (Almouj), Muscat•",135 SQM,3,3
For Rent: Commercial Office in Bousher,OMR 420,"Bosher, Muscat•",76 SQM,Not specified,Not specified
Beautiful 5 BR townhouse available for rent in Bawshar Heights,OMR 550,"Bosher, Muscat•",300 SQM,6,5
Hotel-Style Apartment for Rent – Branded Residences,"OMR 1,700","The Wave (Almouj), Muscat•",233.21 SQM,3,2
3+1 BHK APARTMENT IN Gubrah (SUBG),OMR 600,"Al Ghubrah, Muscat•",150 SQM,4,3
2 BHK apartment in jasmine complex (DISG),OMR 390,"Al Khuwair, Muscat•",120 SQM,2,2
"""SR-JV-495  Villa to let In al seeb  """,OMR 550,"Al Seeb, Muscat•",250 SQM,5,3
"""SR--DM-854   Villa for Rent – North Al Hail فيلا فاخرة للإيجار بالحيل",OMR 825,"Al Hail, Muscat•",300 SQM,5,4
SR--SO-943 Villa for rent in Al Ansab heights.,OMR 450,"Ansab, Muscat•",400 SQM,7,6
"""SR-FM-464 Pant house for rent in alhail north",OMR 600,"Al Hail, Muscat•",170 SQM,4,3
SR--ZW-908 Villa for rent in almawaleh north,OMR 700,"Al Mawaleh, Muscat•",550 SQM,9,7
MADINAT AL ILAM | EXCELLENT 4+1 BR TOWNHOUSE,OMR 650Negotiable,"Madinat As Sultan Qaboos, Muscat•",300 SQM,6,4
4 BR lake view villa for rent in Muscat Bay,"OMR 1,300","Qantab, Muscat•",500 SQM,5,4
ADV408**Luxurious Standalone Villa for Rent – Fully Furnished,OMR 900,"Al Hail, Muscat•",450 SQM,4,3
BRAND-NEW 3 BR VILLAS AVAILABLE FOR RENT,OMR 700,"Bosher, Muscat•",300 SQM,4,3
Offices available for rent in prime locations in Al Azaiba,"OMR 1,500","Azaiba, Muscat•",300 SQM,Not specified,Not specified
2 Bedrooms Apartment for Rent in Almouj Muscat Marina Views,OMR 900,"The Wave (Almouj), Muscat•",154 SQM,2,2
93 SQM Office Space FOR RENT Bausher near Al Ameen Mosque MPC28-B,OMR 511.5,"Bosher, Muscat•",93 SQM,Not specified,Not specified
Spacious Offices FOR RENT in Ghala Airport Heights MPC07,OMR 638.49,"Ghala, Muscat•",213 SQM,Not specified,Not specified
MADINAT SULTAN QABOOS | MODERN HIGH QUALITY 6+2BEDROOM LUXURIOUS VILLA,"OMR 2,199","Madinat As Sultan Qaboos, Muscat•",700 SQM,9,8
ADV925** 3bhk + maid's villa for rent in complex located in qurum heig,OMR 550,"Qurum, Muscat•",300 SQM,3,3
Brand new villa for rent in Madinat sultan qabus,"OMR 1,800","Madinat As Sultan Qaboos, Muscat•",400 SQM,6,5
ADV101*5BHK+Maid twin villa for rent in seeb sur al hadid,OMR 475,"Al Seeb, Muscat•",375 SQM,6,5
ADA010*2BHK+Maid apartement for rent in Madinat sultan,OMR 650,"Madinat As Sultan Qaboos, Muscat•",130 SQM,3,2
93 sqm luxury office in mabila free wifi,OMR 200,"Al Maabilah, Muscat•",95 SQM,Not specified,Not specified
2bhk in alhail free wifi (family only),OMR 180,"Al Hail, Muscat•",100 SQM,3,2
1bhk darsait near ISM school free wifi,OMR 130,"Darsait, Muscat•",90 SQM,1,1
PENTHOUSE FURNISHED 2 BHK FLAT WITH LARGE BALCONY,OMR 400,"Al Ghubrah, Muscat•",105 SQM,2,2
"""SR-NM-806  Commercial Villa for Rent – Mazzoun Street.","OMR 2,000","Al Khoud, Muscat•",125 SQM,Not specified,Not specified
SR-MS--949 Fully furnished flat for rent in Bosher.,OMR 400,"Bosher, Muscat•",170 SQM,3,2
SR-BD-902 Villa for Rent in Mawaleh North/فيلا للايجار في الموالح,OMR 650,"Al Mawaleh, Muscat•",500 SQM,8,7
1 BHK APARTMENT IN GRAND MALL (SD23H),OMR 450,"Bosher, Muscat•",120 SQM,2,1
2 BHK apartment in Muscat Grand Mall (S27G),OMR 550,"Bosher, Muscat•",120 SQM,3,2
"Brand New 5 BHK Villa for Rent – MQ, Muscat","OMR 1,000","Madinat As Sultan Qaboos, Muscat•",370 SQM,6,5
Exclusive Fully Serviced Office Spaces - Al Khuwair - Bait Eteen,OMR 250,"Al Khuwair, Muscat•",12 SQM,Not specified,Not specified
"ADW03**Beautiful & Spacious 2 BHK Apartment for Rent – The Wave, Marsa",OMR 700,"The Wave (Almouj), Muscat•",110 SQM,2,2
RV05 - 4BHK GROUNDFLOOR VILLA FOR RENT IN AL KHOUD,OMR 400,"Al Khoud, Muscat•",600 SQM,4,4
Brand New 2 BHK Apartments in Bausher – Book in Advance & Save!,OMR 325Negotiable,"Bosher, Muscat•",120 SQM,2,2
Brand New Spacious 5 BHK Villa for Rent – Seeb,OMR 650,"Al Seeb, Muscat•",220 SQM,6,5
Prime Brand new Warehouse for Rent in Khazaen Economic City,"OMR 1,800","Muscat - Other, Muscat•",600 SQM,Not specified,Not specified
Prime Open Land & Yard for Rent in Jifnain – Ideal for Logistics,"OMR 3,060","Muscat - Other, Muscat•","3,400 SQM",Not specified,Not specified
Large retail space avaliable at Suqoon building in Azaiba,"OMR 2,316Negotiable","Azaiba, Muscat•",386 SQM,Not specified,Not specified
Taminat - Bausher - 2-bedroom apartment,OMR 425,"Bosher, Muscat•",140 SQM,3,2
"Prime Location for Your Business – Wafa Walk, Salalah",OMR 600Negotiable,"Salalah, Dhofar•",70 SQM,Not specified,Not specified
3bhk flat for rent in MQ,OMR 475,"Madinat As Sultan Qaboos, Muscat•",150 SQM,3,3
3 Bedroom Apartment for Rent in Al Mouj Muscat,OMR 900,"The Wave (Almouj), Muscat•",200 SQM,3,3
BRAND NEW 3 BR TOWNHOUSE IN AL MUNA BOUSHER,OMR 700,"Bosher, Muscat•",300 SQM,4,3
AL KHUWAIR | EXCELLENT 2 BHK FLAT FOR FAMILIES,OMR 270,"Al Khuwair, Muscat•",105 SQM,2,2
FULLY FURNISHED 1 BHK APARTMENT,OMR 300,"Al Ghubrah, Muscat•",85 SQM,1,1
FULLY FURNISHED 2 BR FLAT IN KHUWAIR (AVAILABLE SOON),OMR 350,"Al Khuwair, Muscat•",105 SQM,2,2
MADINAT SULTAN QABOOS | HIGH QUALITY 6+2 BEDROOM LUXURIOUS VILLA,"OMR 1,899","Madinat As Sultan Qaboos, Muscat•",590 SQM,9,7
GHALA | 2200 SQM WAREHOUSE FOR RENT IN PRIME LOCATION,"OMR 3,999","Ghala, Muscat•","2,200 SQM",Not specified,Not specified
QURM | PALATIAL 5+2 BR VILLA IN A PRIVATE COMPUND,"OMR 2,299","Qurum, Muscat•",658 SQM,8,7
MADINAT QABOOS | MODERN 4+1 LUXURIOUS VILLA WITH PRIVATE POOL FOR RENT,"OMR 1,599","Madinat As Sultan Qaboos, Muscat•",454 SQM,7,5
MADINAT AL ILAM | FULLY FURNISHED 5+1BR COMPOUND VILLA,"OMR 1,400","Madinat As Sultan Qaboos, Muscat•",375 SQM,8,6
4 + 1 Maid’s Room Amazing Villa with Private Pool in Muscat Hills,"OMR 1,350","Muscat Hills, Muscat•",689 SQM,5,4
1bhk in Bosher free WiFi (B264),OMR 200,"Bosher, Muscat•",80 SQM,2,1
2bhk near Al Mouj free WiFi (B173),OMR 250,"Al Mawaleh, Muscat•",100 SQM,3,2
1bhk in almasfah,OMR 100,"Misfah, Muscat•",70 SQM,2,1
AL MOUJ | AMAZING 3+1BR GHADEER COURTYARD VILLA,"OMR 1,299","The Wave (Almouj), Muscat•",337 SQM,4,4
للايجار شقه جديده في موقع متميز في غلا شقه غرفه وصاله,OMR 220,"Ghala, Muscat•",75 SQM,2,1
ورشه ومركز صيانه للايجار في مسفاه بموقع مميز وحيوي work shop for Rent,"OMR 2,000","Misfah, Muscat•","1,600 SQM",Not specified,Not specified
للإيجار – محلين تجاريين في الموالح الجنوبية 11 مقابل جهاز الضرائب,OMR 325,"Al Mawaleh, Muscat•",74 SQM,Not specified,Not specified
للايجار شقة للعوائل في بوشر 1BHK FOR RENT,OMR 190,"Bosher, Muscat•",75 SQM,2,1
for rent open space offices and companies located in prime area Ghala,OMR 800,"Ghala, Muscat•",350 SQM,Not specified,Not specified
شقه بموقع مميز في الغبرة الشمالية ( للمكاتب فقط) flat for office need,OMR 350,"Al Ghubrah, Muscat•",120 SQM,2,2
AL KHUWAIR | WELL MAINTAINED 2 BR FLAT,OMR 280,"Al Khuwair, Muscat•",105 SQM,2,2
Road Facing Showroom for Rent in Hamriya!,"OMR 2,000","Al Hamriyah, Muscat•",400 SQM,Not specified,Not specified
Modern 3+1 Villa for Rent – Qurum Heights,"OMR 1,200","Qurum, Muscat•",200 SQM,4,3
Commercial Space for Rent in Al Khuwair – Special Discounted Rate!,"OMR 1,150","Al Khuwair, Muscat•",226 SQM,Not specified,Not specified
Road-Facing Commercial Space for Rent – Heart of Al Khuwair,"OMR 2,700","Al Khuwair, Muscat•",130 SQM,Not specified,Not specified
GHALA | 2200 SQM WAREHOUSE IN PRIME LOCATION,"OMR 4,000","Ghala, Muscat•","2,200 SQM",Not specified,Not specified
Brand New 2 Bedroom Apartment in Almouj Muscat,"OMR 1,100","The Wave (Almouj), Muscat•",146 SQM,3,2
2 Bedroom Apartment for Rent in Al Mouj,OMR 700,"The Wave (Almouj), Muscat•",136 SQM,2,2
BOUSHER | BRAND-NEW 3 BR VILLAS WITH POOL,OMR 850,"Bosher, Muscat•",300 SQM,4,3
one room in alkuwair free wifi,OMR 130,"Al Khuwair, Muscat•",30 SQM,1,1
GHUBRA  WELL MAINTAINED 2BHK APARTMENT - FREE WIFI,OMR 250,"Al Ghubrah, Muscat•",100 SQM,2,2
ADA056*3BHK apartement for rent in khuwair Jasmine complex,OMR 550,"Al Khuwair, Muscat•",120 SQM,4,3
Murooj Al Zain – Salalah’s Hidden Gem,OMR 80,"Salalah, Dhofar•",90 SQM,3,2
MADINAT AL ILAM | SPACIOUS 5+1 BR COMPOUND VILLA,OMR 900,"Madinat As Sultan Qaboos, Muscat•",500 SQM,6,5
BRAND NEW LUXURIOUS 5+1 BR VILLAS IN MADINAT QABOOS,"OMR 1,700","Madinat As Sultan Qaboos, Muscat•",500 SQM,7,6
مكتب للإيجارمؤثث في سكوير الخوض السيب Office for Rent Furnished,OMR 140,"Al Khoud, Muscat•",100 SQM,Not specified,Not specified
Office for Rent in Avenues Mall Ghubrah Bawshar Khuwair - مكتب للايجار,OMR 150,"Al Ghubrah, Muscat•",100 SQM,Not specified,Not specified
MADINAT AL ILAM | SPACIOUS 4+1 BEDROOM TOWNHOUSE,OMR 650,"Madinat As Sultan Qaboos, Muscat•",300 SQM,6,4
one room in darsait free wifi(B3222),OMR 85,"Darsait, Muscat•",35 SQM,1,1
MADINAT AL ILAM | MODERN OPULENT 7+2 BR VILLA FOR RENT,"OMR 2,500","Madinat As Sultan Qaboos, Muscat•",500 SQM,12,8
Excellent 4+1 BR BR Townhouses for Rent in Madinatl Al Illam,OMR 650,"Madinat As Sultan Qaboos, Muscat•",300 SQM,5,5
BOSHER AL MUNA | MODERN 3+1BR TOWNHOUSE WITH PRIVATE POOL,OMR 800,"Bosher, Muscat•",300 SQM,5,4
Beautiful 4 BR Compound Villa Available for Rent in Al Qurum,"OMR 1,800","Qurum, Muscat•",400 SQM,5,4
Apartment for Rent \ Sale  in Al Qurum,OMR 320,"Qurum, Muscat•",130 SQM,3,2
5+1  BR Spacious Modern Villa in Qurum,"OMR 1,250","Qurum, Muscat•",499 SQM,7,6
A Premium Villa in a Gated Community in Madinat Sultan Qaboos,OMR 725,"Madinat As Sultan Qaboos, Muscat•",360 SQM,5,5
"ADC2808* 500 SQM Offices for rent in Ghubra north , 18 november street","OMR 2,500","Al Ghubrah, Muscat•",500 SQM,Not specified,Not specified
3bhk in wadi kabir with free WiFi (B656),OMR 220,"Al Wadi Al Kabir, Muscat•",105 SQM,2,3
*ADV707** 4+1BHK Villa for Rent in Bousher –Al Muna,OMR 600,"Bosher, Muscat•",310 SQM,5,4
"Office for Rent in Business Tower 1 , Muscat Hills","OMR 1,150","Muscat Hills, Muscat•",161 SQM,Not specified,Not specified
للايجار فيلا في بوشر هايتس - المنى,"OMR 2,500","Bosher, Muscat•","1,350 SQM",10,9
Spacious Branded apartment with direct beach access,"OMR 1,700","The Wave (Almouj), Muscat•",195 SQM,3,2
Fully Furnished 1BHK Apartment at St Regis,"OMR 1,350","The Wave (Almouj), Muscat•",143 SQM,2,1
villa for Rent,OMR 700,"Al Mawaleh, Muscat•",450 SQM,8,7
6 BR Stunning Villa in Bousher with Shared Pool,OMR 650,"Bosher, Muscat•",400 SQM,7,6
Prime Open Land & Yard for Rent in Jifnain,"OMR 8,000","Muscat - Other, Muscat•","10,000 SQM",Not specified,Not specified
AL QURUM | PALATIAL 5+2 BR VILLA FOR RENT,"OMR 2,399","Qurum, Muscat•",599 SQM,8,7
AL MOUJ | MARINA AND SEA VIEW 2 BHK APARTMENT IN JUMAN 2,"OMR 1,299","The Wave (Almouj), Muscat•",115 SQM,2,2
AL MOUJ | BEAUTIFUL 2 BHK POOL VIEW APARTMENT FOR RENT,OMR 750,"The Wave (Almouj), Muscat•",105 SQM,2,2
AL MOUJ | GORGEOUS 2+2 BHK MARINA VIEW APARTMENT FOR RENT,"OMR 1,199","The Wave (Almouj), Muscat•",135 SQM,4,4
BOSHER AL MUNA | BRAND NEW 3+1BR TOWNHOUSE WITH PRIVATE POOL FOR RENT,OMR 850,"Bosher, Muscat•",275 SQM,5,4
BARR AL JISSAH | LUXURIOUSLY FURNISHED 4+1 BR VILLA - RESORT LIVING,"OMR 1,599","Barr Al Jissah, Muscat•",465 SQM,5,5
GHALA | 330 SQM BEAUTIFUL OFFICE SPACE IN PRIME LOCATION,OMR 950,"Ghala, Muscat•",330 SQM,Not specified,Not specified
Commercial Spaces for Rent in Ghala |REF 559YB,OMR 900,"Ghala, Muscat•",330 SQM,Not specified,Not specified
6 BR + Maid's Room Luxurious Villa in Al Ansab – Excellent Location,"OMR 1,000","Ansab, Muscat•",620 SQM,5,6
مكتب للإيجار في بوشر – مساحة 105 متر مربع بموقع مميز بالقرب من عمان مو,OMR 450Negotiable,"Bosher, Muscat•",105 SQM,Not specified,Not specified
مكتب للإيجار في بوشر – موقع مميز على شارع المها,OMR 400Negotiable,"Al Khuwair, Muscat•",82 SQM,Not specified,Not specified
2 BR Incredible Brand New Marina View Apartment in Al Mouj – Juman 2,"OMR 1,150","The Wave (Almouj), Muscat•",139 SQM,3,2
3 BR + Maid’s Room Furnished Commercial Villa in Al Hail - w/ Pool,OMR 900,"Al Hail, Muscat•",700 SQM,3,3
40 SQM Shop for Rent in Al Mawaleh,OMR 420,"Al Mawaleh, Muscat•",40 SQM,Not specified,Not specified
"2 BR Furnished Apartment in MGM, Ghubra",OMR 650,"Al Ghubrah, Muscat•",109 SQM,3,2
2 BR + 1 Maid’s Room Duplex Apartment in Madinat Sultan Qaboos,OMR 700,"Madinat As Sultan Qaboos, Muscat•",109 SQM,3,2
3 BR Elegant Apartment – Ruwi (1 Month Free),OMR 400,"Ruwi, Muscat•",251 SQM,3,3
2 BR Nice Apartment for Rent – CBD Near Sheraton,OMR 260,"Ruwi, Muscat•",109 SQM,2,2
1 BR Comfortable Apartment for Rent – Ruwi (Near OC Centre),OMR 180,"Ruwi, Muscat•",59 SQM,2,1
"350 SQM Office Space for Rent – Ruwi, CBD Area","OMR 1,050","Ruwi, Muscat•",350 SQM,Not specified,Not specified
3 + 1 Street-Facing Commercial Villa for Rent in the Heart of Qurm,"OMR 1,350","Qurum, Muscat•",332 SQM,Not specified,Not specified
Like new 2 BHK Apartment for rent on Ruwi Road Front,OMR 250,"Al Hamriyah, Muscat•",100 SQM,3,2
استوديو كبير غرفه وحمام ومطبخ مفروشه,OMR 270,"Qurum, Muscat•",160 SQM,1,1
3+1 BHK Spacious Villa for Rent in Madina Qaboos -PPV285,OMR 750,"Madinat As Sultan Qaboos, Muscat•",430 SQM,4,3
MQ | EXCELLENT 5+1 BR VILLA,OMR 850,"Madinat As Sultan Qaboos, Muscat•",300 SQM,6,5
AL MOUJ  FULLY FURNISHED 2BHK APARTMENT WITH FREE WIFI FOR RENT,OMR 849,"The Wave (Almouj), Muscat•",180 SQM,2,2
QURUM | DELUXE 2BHK APARTMENT FOR RENT,OMR 449,"Qurum, Muscat•",145 SQM,2,2
WADI KABIR | 1300 SQM WAREHOUSE WITH OFFICE,"OMR 2,499","Al Wadi Al Kabir, Muscat•","1,300 SQM",Not specified,Not specified
GHALA | 2200 SQM WAREHOUSE IN PRIME LOCATION,"OMR 3,999Negotiable","Ghala, Muscat•","2,200 SQM",Not specified,Not specified
AL MOUJ | MARINA AND SEA VIEW 2 BHK APARTMENT IN JUMAN,"OMR 1,299","The Wave (Almouj), Muscat•",135 SQM,2,2
MADINAT AL ILAM | FULLY FURNISHED 5+1BR COMPOUND VILLA,"OMR 1,400","Madinat As Sultan Qaboos, Muscat•",640 SQM,7,6
